Region,Decile,Total Income
NCR,First Decile,77163.78
NCR,Second Decile,91809.85
NCR,Third Decile,103516.9
NCR,Fourth Decile,113145.22
NCR,Fifth Decile,125436.46
NCR,Sixth Decile,134488.1
NCR,Seventh Decile,148349.74
NCR,Eighth Decile,169983.54
NCR,Ninth Decile,187836.03
NCR,Tenth Decile,315898.85
CAR,First Decile,6263.21
CAR,Second Decile,8041.11
CAR,Third Decile,9224.73
CAR,Fourth Decile,10274.89
CAR,Fifth Decile,11470.47
CAR,Sixth Decile,13059.27
CAR,Seventh Decile,14690.95
CAR,Eighth Decile,17590.63
CAR,Ninth Decile,22834.9
CAR,Tenth Decile,43354.44
REGION I - ILOCOS REGION,First Decile,16270.55
REGION I - ILOCOS REGION,Second Decile,22044.92
REGION I - ILOCOS REGION,Third Decile,23866.97
REGION I - ILOCOS REGION,Fourth Decile,26533.85
REGION I - ILOCOS REGION,Fifth Decile,28978.88
REGION I - ILOCOS REGION,Sixth Decile,31395.0
REGION I - ILOCOS REGION,Seventh Decile,34672.24
REGION I - ILOCOS REGION,Eighth Decile,42234.41
REGION I - ILOCOS REGION,Ninth Decile,56662.59
REGION I - ILOCOS REGION,Tenth Decile,104583.75
REGION II - CAGAYAN VALLEY,First Decile,45272.97
REGION III - CENTRAL LUZON,First Decile,45272.97
REGION II - CAGAYAN VALLEY,Second Decile,58542.73
REGION III - CENTRAL LUZON,Second Decile,58542.73
REGION II - CAGAYAN VALLEY,Third Decile,67233.02
REGION III - CENTRAL LUZON,Third Decile,67233.02
REGION II - CAGAYAN VALLEY,Fourth Decile,71139.71
REGION III - CENTRAL LUZON,Fourth Decile,71139.71
REGION II - CAGAYAN VALLEY,Fifth Decile,80694.12
REGION III - CENTRAL LUZON,Fifth Decile,80694.12
REGION II - CAGAYAN VALLEY,Sixth Decile,90308.7
REGION III - CENTRAL LUZON,Sixth Decile,90308.7
REGION II - CAGAYAN VALLEY,Seventh Decile,98768.22
REGION III - CENTRAL LUZON,Seventh Decile,98768.22
REGION II - CAGAYAN VALLEY,Eighth Decile,113102.82
REGION III - CENTRAL LUZON,Eighth Decile,113102.82
REGION II - CAGAYAN VALLEY,Ninth Decile,134972.99
REGION III - CENTRAL LUZON,Ninth Decile,134972.99
REGION II - CAGAYAN VALLEY,Tenth Decile,222486.26
REGION III - CENTRAL LUZON,Tenth Decile,222486.26
REGION IVA - CALABARZON,First Decile,61298.83
REGION IVA - CALABARZON,Second Decile,80857.0
REGION IVA - CALABARZON,Third Decile,93968.81
REGION IVA - CALABARZON,Fourth Decile,108809.4
REGION IVA - CALABARZON,Fifth Decile,118461.02
REGION IVA - CALABARZON,Sixth Decile,135159.05
REGION IVA - CALABARZON,Seventh Decile,149952.62
REGION IVA - CALABARZON,Eighth Decile,173252.1
REGION IVA - CALABARZON,Ninth Decile,202523.93
REGION IVA - CALABARZON,Tenth Decile,349436.59
MIMAROPA,First Decile,8366.8
MIMAROPA,Second Decile,10452.19
MIMAROPA,Third Decile,11893.46
MIMAROPA,Fourth Decile,12792.05
MIMAROPA,Fifth Decile,14221.78
MIMAROPA,Sixth Decile,15697.46
MIMAROPA,Seventh Decile,17357.48
MIMAROPA,Eighth Decile,20732.94
MIMAROPA,Ninth Decile,28904.36
MIMAROPA,Tenth Decile,60305.26
REGION V - BICOL REGION,First Decile,15067.39
REGION V - BICOL REGION,Second Decile,18571.89
REGION V - BICOL REGION,Third Decile,21221.44
REGION V - BICOL REGION,Fourth Decile,21718.12
REGION V - BICOL REGION,Fifth Decile,23919.28
REGION V - BICOL REGION,Sixth Decile,26158.77
REGION V - BICOL REGION,Seventh Decile,28810.5
REGION V - BICOL REGION,Eighth Decile,34927.32
REGION V - BICOL REGION,Ninth Decile,48117.12
REGION V - BICOL REGION,Tenth Decile,98706.21
REGION VI - WESTERN VISAYAS,First Decile,22018.26
REGION VI - WESTERN VISAYAS,Second Decile,27867.81
REGION VI - WESTERN VISAYAS,Third Decile,30511.15
REGION VI - WESTERN VISAYAS,Fourth Decile,32372.3
REGION VI - WESTERN VISAYAS,Fifth Decile,35728.84
REGION VI - WESTERN VISAYAS,Sixth Decile,41241.45
REGION VI - WESTERN VISAYAS,Seventh Decile,45431.59
REGION VI - WESTERN VISAYAS,Eighth Decile,54010.48
REGION VI - WESTERN VISAYAS,Ninth Decile,77314.94
REGION VI - WESTERN VISAYAS,Tenth Decile,154276.78
